taxiid,order,income,passenger.time,time.ave,dis.ave,speed.ave
10373,32,935.4998333,524,16.375,7.825260417,28.46106955
10403,16,623.2268333,338,21.125,10.90614583,31.11672671
10423,34,1026.245167,627,18.44117647,7.839019608,25.78644246
10551,29,853.304,476,16.4137931,7.942758621,28.35219686
10586,14,523.493,190,13.57142857,8.976309524,34.13219776
10730,40,1345.807,661,16.525,8.635833333,30.49749481
10925,10,721.6033333,326,32.6,16.95283333,30.21523221
10941,37,890.6246667,634,17.13513514,6.110135135,23.25033367
11226,21,1171.1145,568,27.04761905,15.86079365,35.15440752
11262,30,808.3778333,565,18.83333333,7.122166667,23.8873245
11287,22,1412.377,538,24.45454545,18.17507576,42.2000142
11292,27,1021.690167,585,21.66666667,10.05018519,28.79789604
11315,19,519.2496667,377,19.84210526,7.086052632,23.62374202
11330,21,780.096,473,22.52380952,10.15134921,23.927726
11468,18,631.9696667,324,18,9.200462963,28.6434743
11477,36,940.5106667,630,17.5,7.061712963,24.44811056
11549,10,379.706,242,24.2,10.83633333,28.07522678
11618,33,798.602,552,16.72727273,6.547626263,24.25164927
11830,20,877.286,526,26.3,12.50083333,30.11300534
11853,39,911.389,678,17.38461538,5.905598291,20.63286854
11939,22,683.692,467,21.22727273,8.553257576,23.12850943
11961,16,508.87,352,22,8.871770833,25.49661936
12007,29,698.6793333,515,17.75862069,6.019770115,20.03123049
12675,27,746.5083333,530,19.62962963,7.209876543,22.7617122
12691,33,1085.683333,659,19.96969697,8.762626263,24.89266602
12705,27,807.76,574,21.25925926,8.706790123,25.71894406
12717,19,533.7,359,18.89473684,7.798245614,24.51614271
12727,23,658.56,478,20.7826087,8.234782609,24.09754806
12786,38,1050.305,626,16.47368421,7.010745614,27.20820361
12817,22,869.37,600,27.27272727,11.0875,22.55993452
12870,29,935.6353333,654,22.55172414,8.631091954,25.1905927
12889,36,840.51,613,17.02777778,6.151157407,21.23378876
13010,15,748.1728333,392,26.13333333,13.44288889,31.17439227
13041,16,771.68,354,22.125,13.35072917,33.38930815
13073,28,900.506,450,16.07142857,8.511607143,28.55567908
13081,23,827.042,532,23.13043478,10.08304348,25.68631651
13140,32,795.4783333,582,18.1875,6.403645833,21.19282287
13185,24,639.958,458,19.08333333,7.107222222,21.33511515
13293,34,685.91,489,14.38235294,5.300882353,24.61240687
13320,15,706.6811667,361,24.06666667,12.88177778,28.82033323
13481,37,1045.831667,637,17.21621622,7.523108108,26.46680011
13487,6,269.92,145,24.16666667,12.60555556,26.91945017
13533,43,1158.166333,690,16.04651163,7.117403101,27.69730634
13570,8,281.1128333,175,21.875,13.58604167,31.99390624
13580,22,565.156,377,17.13636364,6.791590909,24.43324257
13602,20,591.4873333,467,23.35,7.44775,21.1582847
13614,19,975.316,585,30.78947368,14.59473684,29.07484578
13629,25,982.2066667,551,22.04,10.64886667,28.18160678
13701,30,911.4828333,536,17.86666667,7.845444444,25.26998526
13835,33,991.908,607,18.39393939,7.978383838,26.10659713
13902,10,335.254,137,13.7,8.305666667,26.90510512
13918,18,894.2433333,539,29.94444444,13.73314815,26.66381046
14097,12,420.6286667,148,12.33333333,8.678194444,42.05373457
14160,36,874.2096667,528,14.66666667,5.73837963,24.59550816
14200,19,795.756,517,27.21052632,11.1204386,23.77647885
14233,14,596.504,419,29.92857143,13.08154762,27.99080606
14264,38,891.6298333,507,13.34210526,6.000307018,25.15697127
14331,28,535.702,394,14.07142857,4.534464286,21.34261034
14408,8,249.278,149,18.625,8.362916667,25.57557081
14580,14,799.9185,360,25.71428571,16.06142857,36.86982436
14595,11,324.52,241,21.90909091,7.75,20.6453768
14666,17,705.242,451,26.52941176,11.70068627,27.30251456
14716,13,756.996,337,25.92307692,16.38410256,32.78228727
14932,17,472.002,299,17.58823529,7.770784314,25.97419004
15026,37,835.7988333,545,14.72972973,5.644009009,22.51371075
15049,38,984.2888333,542,14.26315789,6.886754386,30.10680411
15152,40,884.7485,594,14.85,5.171166667,21.7506329
15159,30,1027.2185,693,23.1,8.551777778,25.74632551
15165,30,720.962,550,18.33333333,6.321055556,21.58136597
15212,33,893.1598333,549,16.63636364,7.085,26.49043114
15300,32,989.6256667,580,18.125,8.318125,29.02756347
15325,25,731.4053333,427,17.08,7.735866667,27.50702173
15348,24,867.428,533,22.20833333,10.06166667,27.02146503
15374,24,809.921,525,21.875,9.472291667,27.51757604
15418,37,1295.536667,633,17.10810811,8.465225225,26.97380694
15588,14,486.1818333,234,16.71428571,8.996666667,29.45659228
15598,43,1108.9735,690,16.04651163,6.510387597,25.30163309
15738,31,611.6906667,542,17.48387097,5.141075269,20.04769443
15814,26,688.006,488,18.76923077,6.903141026,22.80368565
15841,22,951.6435,626,28.45454545,10.6794697,23.31452529
15866,21,746.3828333,466,22.19047619,9.882619048,26.26680034
15985,21,725.7731667,481,22.9047619,7.783809524,20.96376484
16058,26,775.572,457,17.57692308,7.842884615,24.64234553
16160,30,1007.241667,628,20.93333333,9.139055556,26.91789755
16220,33,989.3776667,647,19.60606061,7.79959596,23.14412338
16234,14,558.026,294,21,11.43392857,32.2914534
16305,26,839.162,512,19.69230769,8.147371795,22.69819719
16331,34,1053.706833,646,19,8.541127451,26.90014771
16348,26,578.994,370,14.23076923,5.728461538,24.83902112
16388,34,775.079,510,15,5.507205882,24.35448871
16414,28,1112.972167,591,21.10714286,11.23869048,30.28716157
16443,20,600.0916667,295,14.75,7.69225,31.11468207
16558,24,820.9241667,405,16.875,8.530347222,29.76261864
16578,19,619.4025,301,15.84210526,8.975614035,32.37827267
16604,20,564.608,315,15.75,7.778416667,29.04267991
16684,25,839.7958333,528,21.12,9.443133333,27.3358061
16739,30,595.6975,451,15.03333333,4.690055556,20.36398681
16749,36,1011.257,570,15.83333333,7.030324074,23.90343196
16766,22,523.336,372,16.90909091,6.276060606,22.75234036
16808,21,1087.215333,560,26.66666667,14.42992063,33.44530279
16910,29,875.6181667,495,17.06896552,7.814425287,23.15313591
16949,28,862.15,646,23.07142857,8.417738095,22.82063354
16990,30,748.982,460,15.33333333,6.414222222,23.50449734
17088,14,505.254,332,23.71428571,10.32666667,26.01168978
17127,36,1238.883,699,19.41666667,8.904907407,27.76758753
17154,11,492.9388333,196,17.81818182,12.53409091,35.3534457
17216,19,845.7718333,361,19,12.11192982,35.14439568
17217,29,933.9956667,503,17.34482759,8.358965517,27.56401809
17243,24,760.6685,515,21.45833333,8.009097222,23.58097171
17402,35,889.1471667,601,17.17142857,6.369809524,24.23288742
17433,27,647.4188333,436,16.14814815,6.004753086,23.88020125
17561,26,730.126,522,20.07692308,7.46224359,21.91024317
17702,22,997.5096667,524,23.81818182,12.09674242,31.23008753
17833,28,729.5176667,549,19.60714286,7.169642857,22.24714298
17835,32,1106.7765,712,22.25,9.635260417,26.43191271
18067,36,738.086,462,12.83333333,5.180046296,25.45098227
18138,26,884.9386667,383,14.73076923,9.557307692,36.76986099
18216,26,883.9471667,514,19.76923077,8.70974359,25.26649343
18348,41,951.9616667,652,15.90243902,6.063211382,23.62176687
18368,30,652.4938333,424,14.13333333,5.391888889,23.87372665
18659,14,595.74,295,21.07142857,11.25595238,26.54644847
18669,24,748.605,457,19.04166667,8.190972222,23.51773959
18737,9,322.5783333,224,24.88888889,8.27037037,26.17402129
18766,14,738.8266667,348,24.85714286,14.75714286,33.12545682
18784,30,695.1,411,13.7,5.820944444,25.58866075
18797,25,736.716,529,21.16,8.122933333,22.73506733
18887,15,706.128,400,26.66666667,12.74311111,26.98939251
18928,32,901.3813333,614,19.1875,7.412135417,22.59144834
18950,33,675.301,510,15.45454545,5.124040404,22.01287956
20058,23,1041.002,539,23.43478261,12.6515942,31.6739786
20081,26,954.34,554,21.30769231,10.12820513,26.48160133
20137,16,653.533,313,19.5625,10.70291667,31.5755648
20156,31,956.4003333,586,18.90322581,8.168064516,25.96774404
20190,34,799.9376667,524,15.41176471,6.319901961,24.58828419
20192,18,567.684,400,22.22222222,8.324166667,20.76131777
20228,33,899.416,664,20.12121212,7.042727273,21.34994654
20232,35,866.7023333,614,17.54285714,6.25552381,22.54985409
20239,15,497.3683333,351,23.4,9.386666667,28.11611814
20276,27,622.024,466,17.25925926,6.346666667,24.05642849
20278,33,1061.953167,594,18,8.291868687,28.4262321
20338,24,630.0916667,454,18.91666667,7.034583333,24.93174534
20344,35,859.9733333,558,15.94285714,6.011380952,21.43452225
20370,9,284.2,205,22.77777778,8.627777778,23.7523549
20385,30,1142.833333,627,20.9,10.55011111,30.70487051
20439,38,880.58,562,14.78947368,5.875438596,22.85270163
20461,23,656.4466667,401,17.43478261,7.492028986,25.35135162
20466,13,531.232,270,20.76923077,11.25602564,26.97405179
20481,23,569.88,406,17.65217391,6.542753623,23.84009402
20489,31,943.9783333,614,19.80645161,8.21155914,25.0580138
20499,35,899.6976667,537,15.34285714,6.801142857,28.15299504
20519,23,561.6,448,19.47826087,6.465144928,21.6750582
20522,33,1095.002167,609,18.45454545,8.622676768,26.91584758
20525,17,555.3958333,264,15.52941176,8.00127451,32.00993264
20588,29,871.6548333,518,17.86206897,8.039137931,30.21463688
20680,37,790.8153333,476,12.86486486,5.268783784,26.4063923
20701,20,943.26,496,24.8,13.21166667,30.76868108
20712,29,646.185,451,15.55172414,5.394827586,20.65950377
20719,23,532.4483333,389,16.91304348,5.7,21.23746879
20722,27,723.2718333,450,16.66666667,6.737283951,24.06038576
20747,7,442.64,197,28.14285714,16.81666667,25.61909189
20811,31,793.75,552,17.80645161,6.40483871,21.21444994
20849,31,768.0443333,532,17.16129032,6.42672043,22.34466046
20860,16,516.7683333,265,16.5625,8.036979167,29.69313405
20933,26,868.9433333,519,19.96153846,9.062820513,26.56801709
20938,25,665.0976667,444,17.76,6.687933333,24.55883646
21056,41,1153.239667,691,16.85365854,7.11597561,23.79859864
21224,41,997.9688333,633,15.43902439,6.358943089,25.43918885
21514,17,616.918,437,25.70588235,10.2372549,25.80660122
21635,19,410.8463333,256,13.47368421,5.333508772,23.96438444
21975,32,945.8423333,557,17.40625,8.125416667,29.00709247
21983,22,731.7456667,414,18.81818182,9.161742424,30.5741385
22008,29,960.954,534,18.4137931,8.402586207,26.00089118
22107,11,562.9966667,240,21.81818182,14.16666667,38.17143969
23315,33,893.9656667,670,20.3030303,7.511565657,23.56059423
23465,22,777.758,341,15.5,9.590378788,30.74504805
23658,29,1009.2615,659,22.72413793,8.982528736,25.26698057
23914,22,901.0573333,542,24.63636364,11.27787879,26.39351658
24000,33,991.272,530,16.06060606,7.641111111,25.2408196
25297,28,747.9271667,557,19.89285714,6.613154762,21.06086091
25527,13,408.7845,317,24.38461538,8.20525641,22.17569062
25535,13,661.3,349,26.84615385,14.55,33.40101558
25570,25,1318.571333,617,24.68,14.30666667,30.17790802
25578,29,731.7148333,431,14.86206897,6.32683908,28.28547012
25702,28,759.954,486,17.35714286,7.363095238,25.81487001
25803,36,922.7693333,573,15.91666667,6.487314815,23.32692651
25841,25,887.2303333,610,24.4,10.5722,26.95780176
25891,27,967.5553333,560,20.74074074,8.893271605,25.66741652
25986,30,924.9688333,582,19.4,8.117555556,25.70390832
26024,31,927.5965,679,21.90322581,8.177580645,24.08994463
26061,21,715.3093333,458,21.80952381,9.173174603,27.38483926
26631,25,851.2191667,484,19.36,9.300933333,30.00735422
26633,26,703.4453333,418,16.07692308,6.54974359,25.81026322
26767,27,702.292,563,20.85185185,6.96382716,21.84767307
26924,29,903.046,562,19.37931034,8.476034483,23.87900736
27356,29,883.349,534,18.4137931,8.319022989,26.98269397
27491,28,965.6818333,599,21.39285714,9.171785714,27.4695406
27788,15,819.6018333,397,26.46666667,13.74666667,27.38666358
27818,19,405.68,228,12,5.502105263,28.89034458
27882,39,1037.302167,688,17.64102564,7.144017094,24.86464068
27939,30,981.3951667,592,19.73333333,9.201666667,27.3603157
28075,20,614.058,462,23.1,8.204833333,21.73529677
28114,26,1327.064833,599,23.03846154,14.19903846,34.63043932
28368,19,875.622,507,26.68421053,12.70578947,28.66098912
28454,33,963.7076667,628,19.03030303,7.606515152,22.79707512
28585,28,955.8206667,630,22.5,9.189642857,24.24774713
28619,13,701.2356667,303,23.30769231,15.16346154,37.1326009